garage_id,address,lat,lng,rate_per_half_hour,carpark_type_str,capacity,start_date_time,start_date,start_time,end_date_time,end_date,end_time,duration_type,parking_type,cust_id,cell
GP0227,83 Tannery Road,43.65391975,-79.35492331,$1.50,Garage,27,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000399,4164495014
GP0124,23 Bedford Park Avenue,43.72677,-79.40433,$1.00,Surface,42,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000400,4165973200
GP0111,201 Claremont Street,43.651657,-79.41125,$1.00,Surface,43,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000401,9057322084
GP0160,342 Prince Edward Drive N.,43.6488534,-79.5055311,$1.00,Surface,43,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000402,4166861467
GP0029,1091 Eastern Avenue,43.664603,-79.318234,$1.00,Surface,45,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000403,9053540847
GP0052,128 Eighth Street,43.600906,-79.506769,$1.00,Surface,45,2020-02-12 6:00,2020-02-12,6:00,2020-02-14 18:00,2020-02-14,18:00,long-term,public,ACA000404,4162859047
GP0044,1169 Weston Road,43.687441,-79.4903,$1.00,Surface,47,2020-02-12 6:00,2020-02-12,6:00,2020-02-17 18:00,2020-02-17,18:00,long-term,public,ACA000405,4166010950
GP0130,250 Fort York Blvd. ,43.63720826,-79.40646103,$1.00,Surface,49,2020-02-12 19:00,2020-02-12,19:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000406,4166076165
GP0074,151 Hiawatha Road,43.672598,-79.322941,$1.00,Surface,50,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000407,4165375009
GP0186,5 Colonel Samuel Smith Park Drive,43.59788643,-79.52111938,$1.00,Surface,52,2020-02-12 16:00,2020-02-12,16:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000408,4164473112
GP0024,101 Cedarvale Avenue,43.686541,-79.310957,$1.50,Surface,37,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000409,4166865053
GP0081,16 Riverview Gardens,43.648894,-79.486663,$1.00,Surface,54,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 20:00,2020-02-12,20:00,short-term,public,ACA000410,4166998404
GP0036,1117 Dundas Street West,43.649267,-79.420135,$1.50,Surface,37,2020-02-12 17:00,2020-02-12,17:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000411,9059371741
GP0148,300 Remembrance Drive ,43.6330895,-79.4087431,$1.00,Surface,65,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000412,4165158384
GP0043,1167 Eastern Avenue,43.665986,-79.313049,$1.00,Surface,66,2020-02-12 16:00,2020-02-12,16:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000413,4164654085
GP0087,168 Chiltern Hill Road,43.700241,-79.428223,$1.00,Garage,68,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000414,4167512919
GP0123,2225 Lake shore Blvd West (Parks),43.62003002,-79.48066664,$1.00,Surface,80,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000415,9056885829
GP0031,11 Grenview Blvd. N.,43.648738,-79.507853,$1.00,Surface,83,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000416,4164213806
GP0035,111 Broadview Avenue,43.659179,-79.349774,$1.00,Surface,92,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000417,4165978951
GP0026,1010 Yonge St.,43.675942,-79.389439,$1.50,Surface,48,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000418,4163458018
GP0089,17 Riverview Gardens,43.649119,-79.486397,$1.00,Surface,113,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000419,2892963057
GP0236,9 Willingdon Blvd.,43.6481868,-79.5102001,$1.00,Surface,116,2020-02-12 13:00,2020-02-12,13:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000420,4166012246
GP0051,1275 Lakeshore Blvd. W. (Parks),43.63385595,-79.4382742,$1.00,Surface,120,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000421,4164800372
GP0039,115 Unwin Avenue,43.641425,-79.341888,$1.00,Surface,123,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000422,4165150933
GP0120,2225 Lake shore Blvd West (Parks),43.61964106,-79.47947038,$1.00,Surface,144,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000423,4169328392
GP0237,91 Via Italia,43.676817,-79.445239,$1.00,Garage,169,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000424,4163851448
GP0109,2001 Lake Shore Blvd. West (Parks),43.634103,-79.469036,$1.00,Surface,185,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000425,4166992518
GP0110,2001 Lake Shore Blvd. West (Parks),43.637123,-79.462266,$1.00,Surface,187,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000426,4164475615
GP0079,1575 Lake Shore Blvd. W. (Parks),43.637473,-79.451301,$1.00,Surface,193,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000427,9059380304
GP0198,65 Colonel Samuel Smith Park Drive,43.593757,-79.516468,$1.00,Surface,210,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000428,4167520957
GP0023,100 Grangeway Avenue,43.77458,-79.251359,$1.00,Surface,214,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000429,4169440478
GP0117,2195 Lake shore Blvd West (Parks),43.62277399,-79.47673382,$1.00,Surface,228,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000430,4166918479
GP0025,101 Grangeway Avenue,43.775378,-79.250093,$1.00,Surface,261,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000431,4164471254
GP0100,20 Ashbridges Bay Park Road (Parks),43.660056,-79.311365,$1.00,Surface,270,2020-02-12 11:00,2020-02-12,11:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000432,4163660437
GP0086,1675 Lakeshore Blvd. E. (Parks),43.662417,-79.311188,$1.00,Surface,292,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000433,4163668649
GP0240,94 Northcliffe Blvd.,43.67780942,-79.44066082,$1.25,Surface,13,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000434,4166076997
GP0077,154 Westmount Avenue,43.678907,-79.442248,$1.25,Surface,14,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000435,4169439478
GP0199,650 Mt. Pleasant Road,43.704763,-79.388956,$1.50,Garage,68,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000436,4169253948
GP0073,1503 Bayview Avenue,43.703909,-79.374332,$1.25,Surface,25,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000437,4169790524
GP0105,20 Eaton Avenue,43.679954,-79.343948,$1.50,Surface,70,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000438,9053574548
GP0238,912 Eglinton Avenue West,43.700543,-79.428073,$1.25,Surface,26,2020-02-12 19:00,2020-02-12,19:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000439,4169790535
GP0163,351 Keele Street,43.664581,-79.463993,$1.50,Surface,77,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000440,4164801949
GP0094,1880 Avenue Road,43.732182,-79.419576,$1.25,Surface,32,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000441,9057141005
GP0242,995 Eglinton Avenue West,43.699612,-79.431131,$1.25,Surface,33,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000442,4164821053
GP0177,400 Keele Street,43.66611,-79.465045,$1.25,Surface,35,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000443,9053580274
GP0066,146 Harrison Street,43.650423,-79.424404,$1.50,Surface,79,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000444,4169790533
GP0020,10 Kingsdale Avenue,43.770373,-79.41257,$1.25,Surface,52,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000445,4169613817
GP0050,125 Burnaby Blvd,43.704445,-79.412076,$1.50,Surface,154,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000446,4169790531
GP0170,3885 Yonge Street,43.741786,-79.40595,$1.25,Surface,129,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000447,4169721813
GP0135,265 Durie Street,43.650881,-79.479014,$1.50,Surface,155,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000448,4167590742
GP0118,2201 Dundas Street West,43.653388,-79.451323,$1.50,Surface,10,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000449,9052278083
GP0144,292 Brunswick Avenue,43.66536897,-79.40763613,$2.00,Surface,19,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 15:00,2020-02-12,15:00,short-term,public,ACA000450,4163663733
GP0143,287 Rushton Road,43.681835,-79.4277031,$1.50,Surface,16,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000451,4169620433
GP0222,77 Gough Avenue,43.679481,-79.346287,$1.50,Surface,17,2020-02-12 11:00,2020-02-12,11:00,2020-02-12 16:00,2020-02-12,16:00,short-term,public,ACA000452,4164849623
GP0078,157 Beatrice Street,43.654669,-79.416411,$1.50,Surface,18,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000453,4164863186
GP0208,7 Monkton Avenue,43.644336,-79.521886,$2.00,Surface,25,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000454,4167517152
GP0064,1439 Danforth Avenue,43.682646,-79.326321,$1.50,Surface,20,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000455,4169681015
GP0091,18 Ossington Avenue,43.644655,-79.419286,$1.50,Surface,20,2020-02-12 19:00,2020-02-12,19:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000456,4169294432
GP0056,136 Broadview Avenue,43.659822,-79.350373,$1.50,Surface,22,2020-02-12 15:00,2020-02-12,15:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000457,4167035000
GP0139,2700 Eglinton Avenue West,43.690792,-79.478585,$2.00,Surface,38,2020-02-12 17:00,2020-02-12,17:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000458,4169686878
GP0226,803 Richmond Street West,43.644546,-79.410778,$2.00,Surface,49,2020-02-12 17:00,2020-02-12,17:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000459,4163458303
GP0032,11 Kenwood Avenue,43.68298,-79.422065,$1.50,Surface,25,2020-02-12 18:00,2020-02-12,18:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000460,4164855598
GP0065,1445 Bathurst Street,43.682499,-79.41787,$1.50,Surface,25,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000461,4165996453
GP0082,1612 Danforth Avenue,43.683577,-79.322995,$1.50,Surface,25,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000462,4169641729
GP0175,40 Rolling Mills Rd.,43.65266351,-79.35574313,$1.50,Garage,25,2020-02-12 19:00,2020-02-12,19:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000463,9056825912
GP0224,80 Clinton Street,43.656346,-79.414555,$1.50,Surface,25,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000464,4165517019
GP0215,730 Mt. Pleasant Road,43.706702,-79.38975,$2.00,Garage,53,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000465,4164844202
GP0151,31 Langford Avenue,43.680613,-79.340751,$1.50,Surface,27,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000466,4164970049
GP0227,83 Tannery Road,43.65391975,-79.35492331,$1.50,Garage,27,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000467,4169271381
GP0142,284 Milner Avenue,43.789429,-79.238387,$2.00,Surface,103,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000468,9054685718
GP0088,17 Eaton Avenue,43.680078,-79.343197,$1.50,Surface,30,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 17:00,2020-02-12,17:00,short-term,public,ACA000469,9057325341
GP0055,1325 Queen Street West,43.64095,-79.433856,$1.50,Surface,32,2020-02-12 11:00,2020-02-12,11:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000470,4164252042
GP0168,376 Clinton Street,43.664441,-79.41758,$1.50,Surface,33,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000471,4167518106
GP0204,68 Sheppard Avenue West,43.76082,-79.414662,$1.50,Surface,34,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000472,9059389899
GP0048,12 Woodycrest Avenue,43.68035,-79.342339,$1.50,Surface,35,2020-02-12 19:00,2020-02-12,19:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000473,4169290313
GP0024,101 Cedarvale Avenue,43.686541,-79.310957,$1.50,Surface,37,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000474,9059372777
GP0036,1117 Dundas Street West,43.649267,-79.420135,$1.50,Surface,37,2020-02-12 11:00,2020-02-12,11:00,2020-02-12 17:00,2020-02-12,17:00,short-term,public,ACA000475,4164826679
GP0205,695 Lansdowne Avenue,43.658969,-79.442739,$1.50,Surface,40,2020-02-12 16:00,2020-02-12,16:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000476,4167573902
GP0128,25 Ferrier Avenue,43.679007,-79.348379,$1.50,Surface,47,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000477,4163223688
GP0026,1010 Yonge St.,43.675942,-79.389439,$1.50,Surface,48,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000478,4164621152
GP0173,4 Spadina Road,43.666878,-79.404116,$1.50,Surface,51,2020-02-12 17:00,2020-02-12,17:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000479,4166861129
GP0061,14 Fuller Avenue,43.640788,-79.439542,$1.50,Surface,53,2020-02-12 11:00,2020-02-12,11:00,2020-02-12 17:00,2020-02-12,17:00,short-term,public,ACA000480,9056800180
GP0214,72 Amroth Avenue,43.685377,-79.311708,$1.50,Surface,54,2020-02-12 12:00,2020-02-12,12:00,2020-02-12 17:00,2020-02-12,17:00,short-term,public,ACA000481,4169790427
GP0183,453 Spadina Road,43.689543,-79.412946,$1.50,Surface,55,2020-02-12 13:00,2020-02-12,13:00,2020-02-12 18:00,2020-02-12,18:00,short-term,public,ACA000482,4164818040
GP0132,255 Kennedy Avenue,43.65168,-79.475119,$1.50,Surface,56,2020-02-12 16:00,2020-02-12,16:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000483,4164453935
GP0138,2700 Eglinton Avenue West,43.690203,-79.477919,$2.00,Surface,109,2020-02-12 17:00,2020-02-12,17:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000484,4166039022
GP0199,650 Mt. Pleasant Road,43.704763,-79.388956,$1.50,Garage,68,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 20:00,2020-02-12,20:00,short-term,public,ACA000485,4163598784
GP0229,85 Lee Avenue,43.6704624,-79.2979613,$1.50,Surface,68,2020-02-12 18:00,2020-02-12,18:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000486,4166860695
GP0105,20 Eaton Avenue,43.679954,-79.343948,$1.50,Surface,70,2020-02-12 16:00,2020-02-12,16:00,2020-02-12 21:00,2020-02-12,21:00,short-term,public,ACA000487,4165328270
GP0069,15 Price St,43.679814,-79.390007,$1.50,Surface,71,2020-02-12 16:00,2020-02-12,16:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000488,4169790517
GP0169,385 Pacific Avenue,43.664736,-79.468124,$1.50,Surface,71,2020-02-12 14:00,2020-02-12,14:00,2020-02-12 19:00,2020-02-12,19:00,short-term,public,ACA000489,4169257855
GP0202,670 Pape Avenue,43.678146,-79.344774,$1.50,Surface,76,2020-02-12 19:00,2020-02-12,19:00,2020-02-13 6:00,2020-02-13,6:00,short-term,public,ACA000490,4169259180
